name,image,aid
"Lloyd 1.5 Ton 3 Star Inverter Split Ac (5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White, Gls18I3...",https://m.media-amazon.com/images/I/31UISB90sYL._AC_UL320_.jpg,268940
"LG 1.5 Ton 5 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Protectio...",https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,251881
"LG 1 Ton 4 Star Ai Dual Inverter Split Ac (Copper, Super Convertible 6-In-1 Cooling, Hd Filter With Anti Virus Protection,...",https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,252139
"LG 1.5 Ton 3 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Protectio...",https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,251878
"Carrier 1.5 Ton 3 Star Inverter Split AC (Copper,ESTER Dxi, 4-in-1 Flexicool Inverter, 2022 Model,R32,White)",https://m.media-amazon.com/images/I/41lrtqXPiWL._AC_UL320_.jpg,97732
"Voltas 1.4 Ton 3 Star Inverter Split AC(Copper, Adjustable Cooling, Anti-dust Filter, 2023 Model, 173V Vectra Platina, White)",https://m.media-amazon.com/images/I/41TuyxwZ9mL._AC_UL320_.jpg,501309
"Lloyd 1.0 Ton 3 Star Inverter Split Ac (5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White With Chr...",https://m.media-amazon.com/images/I/31IXlxIPsOL._AC_UL320_.jpg,268930
"Lloyd 1.5 Ton 5 Star Inverter Split Ac (5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White With Chr...",https://m.media-amazon.com/images/I/31IXlxIPsOL._AC_UL320_.jpg,268942
"Carrier 1 Ton 3 Star AI Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling,Dual Filtration with HD & PM 2.5 F...",https://m.media-amazon.com/images/I/51sTXvsanQL._AC_UL320_.jpg,97707
"Voltas 1.5 Ton, 5 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 185V DAZJ, White)",https://m.media-amazon.com/images/I/51WQ3nWF0vL._AC_UL320_.jpg,501481
"Daikin 1 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2023 M...",https://m.media-amazon.com/images/I/51Nff1pJMqL._AC_UL320_.jpg,125288
"Daikin 1.5 Ton 5 Star Inverter Split AC (Copper, PM 2.5 Filter, 2022 Model, MTKM50U, White)",https://m.media-amazon.com/images/I/41BgAG0qRaL._AC_UL320_.jpg,125284
"Panasonic 1.5 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Wa...",https://m.media-amazon.com/images/I/61ZzcguzB1L._AC_UL320_.jpg,344439
"Carrier 1.5 Ton 5 Star AI Flexicool Inverter Split AC (Copper, Convertible 6-in-1 Cooling,Dual Filtration with HD & PM 2.5...",https://m.media-amazon.com/images/I/61JtwWcAcoL._AC_UL320_.jpg,97693
"Whirlpool 1.5 Ton 3 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3K1...",https://m.media-amazon.com/images/I/51vyGNOskVL._AC_UL320_.jpg,509262
"Samsung 1.5 Ton 3 Star Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Easy Filter Plus (Anti-Bacteria), 2023 ...",https://m.media-amazon.com/images/I/51dPET0mdFL._AC_UL320_.jpg,413800
"Lloyd 1.0 Ton 5 Star Inverter Split Ac (5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White With Chr...",https://m.media-amazon.com/images/I/31IXlxIPsOL._AC_UL320_.jpg,268934
"Godrej 1.5 Ton 5 Star 5-In-1 Convertible, Inverter Split AC (100% Copper, Heavy Duty Cooling at 52°C, 2023 Model,AC 1.5T E...",https://m.media-amazon.com/images/I/51HEnpDyVpL._AC_UL320_.jpg,187888
"Godrej 1 Ton 3 Star Inverter Split Ac Model 2023 (100% Copper,5-In-1 Convertible, Ac 1T Ei 12Tinv3R32-Gwa Split, White)",https://m.media-amazon.com/images/I/41kGqW4aeML._AC_UL320_.jpg,187899
"Daikin 1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, MTKL...",https://m.media-amazon.com/images/I/41O8pnwGG+L._AC_UL320_.jpg,125293
"Blue Star 1.5 Ton 3 Star Convertible 4 in 1 Cooling Inverter Split AC (Copper, Multi Sensors, Stabalizer Free Operation, D...",https://m.media-amazon.com/images/I/515BpZfhH1L._AC_UL320_.jpg,75420
"LG 1.5 Ton 2 Star DUAL Inverter Split AC (Copper, Convertible 4-in-1 Cooling, HD Filter with Anti-virus Protection, 2023 M...",https://m.media-amazon.com/images/I/511JKTNA+7L._AC_UL320_.jpg,251893
"LG 1.5 Ton 4 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Protectio...",https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,251873
"Panasonic 1 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Way ...",https://m.media-amazon.com/images/I/61ZzcguzB1L._AC_UL320_.jpg,344431
"Lloyd 1.5 Ton 3 Star Fixed Speed Window Ac (Copper, 2023 Model, White With Silver Deco Strip, Glw18C3Ywsew)",https://m.media-amazon.com/images/I/81qXJbtSA6L._AC_UL320_.jpg,269007
"Samsung 1.5 Ton 5 Star Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-Bacteria, 2023 Model AR18CYNZABE W...",https://m.media-amazon.com/images/I/51XI2FLjJ4L._AC_UL320_.jpg,413805
"Voltas 1.5 Ton 5 Star, Inverter Window AC (Copper, 2-in-1 Adjustable Mode, 2023 Model, 185V Vertis Elite, White)",https://m.media-amazon.com/images/I/61suRUG6A+L._AC_UL320_.jpg,501339
"Samsung 1 Ton 3 Star Inverter Split Ac (Copper, Convertible 5-In-1 Cooling Mode, Easy Filter Plus (Anti-Bacteria), 2023 Mo...",https://m.media-amazon.com/images/I/51iSjRHY6EL._AC_UL320_.jpg,413796
"LG 1.0 Ton 5 Star DUAL Inverter Wi-Fi Window AC (Copper, Convertible 4-in-1 cooling, PW-Q12WUZA, 2022 Model, HD Filter, Wh...",https://m.media-amazon.com/images/I/71WuTUFvmUL._AC_UL320_.jpg,252122
"Godrej 1.5 Ton 3 Star 5-In-1 Convertible, Inverter Split AC (100% Copper,I-Sense, 2023 Model, AC 1.5T EI 18TINV3R32-GWA/AC...",https://m.media-amazon.com/images/I/41kGqW4aeML._AC_UL320_.jpg,187893
"Voltas 2 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 243V Vectra Elite, Wh...",https://m.media-amazon.com/images/I/41e6oqY5-ZL._AC_UL320_.jpg,501316
"Samsung 1.5 Ton 3 Star Wi-fi Enabled, Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Ant...",https://m.media-amazon.com/images/I/71kIl8z3SJL._AC_UL320_.jpg,414055
"Whirlpool 1.0 Ton 3 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3K1...",https://m.media-amazon.com/images/I/51vyGNOskVL._AC_UL320_.jpg,509267
"Whirlpool 1.5 Ton 5 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3I3...",https://m.media-amazon.com/images/I/51xzmzjFS7L._AC_UL320_.jpg,509273
"Voltas 0.8 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 103V Vectra Elite, ...",https://m.media-amazon.com/images/I/41e6oqY5-ZL._AC_UL320_.jpg,501294
"LG 0.8 Ton 3 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti Virus protectio...",https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,252134
"Daikin 1 Ton 5 Star Inverter Split AC (Copper, PM 2.5 Filter, 2022 Model, MTKM35U, White)",https://m.media-amazon.com/images/I/41BgAG0qRaL._AC_UL320_.jpg,125281
